SPASE_AlternateName,HelioData_long_name
"['DMSP_5D-3/F17', 'DMSP-F17', '29522']",DMSP_5D-3/F17
"['DMSP_5D-3/F18', 'DMSP-F18', 'USA 210', '35951']",DMSP_5D-3/F18
"['DMSP_5D-3/F19', 'DMSP-F19', 'USA 249', '39630']",DMSP_5D-3/F19
['DMSP_5D-3/S20'],DMSP_5D-3/S20
"['Tan Ce', 'TC']",Tan Ce
"['2003-061A', 'Tan Ce1', 'TC 1', '28140']",2003-061A
"['Explorer  2', '2004-029A', 'Tan Ce 2', 'TC 2']",Explorer  2
['Dominion Radio Astrophysical Observatory'],Dominion Radio Astrophysical Observatory
"['Deep Space Climate Observatory', '2015-007A']",Deep Space Climate Observatory
['Dunn Solar Telescope (DST)'],Dunn Solar Telescope (DST)
['Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.'],Observatory Group created to represent the chain of magnetic field stations used to calculate the Dst Index.
['Demonstrations and Science Experiment'],Demonstrations and Science Experiment
['Technical University of Denmark Magnetic Ground Stations'],Technical University of Denmark Magnetic Ground Stations
"['Dynamics Explorer-A', '1981-070A', 'Explorer 62', 'DE-A', 'DE 1']",Dynamics Explorer-A
"['Dynamics Explorer-B', '1981-070B', 'Explorer 63', 'DE-B', 'DE 2']",Dynamics Explorer-B
['e-CALLISTO International Network of Solar Radio Spectrometers'],e-CALLISTO International Network of Solar Radio Spectrometers
"['Electron Losses and Fields Investigation A, CubeSat']","Electron Losses and Fields Investigation A, CubeSat"
"['Electron Losses and Fields Investigation B, CubeSat']","Electron Losses and Fields Investigation B, CubeSat"
['Emirates Mars Mission (EMM)'],Emirates Mars Mission (EMM)
"['ISTP/Equator-S', '25068']",ISTP/Equator-S
['ESKI'],ESKI
"['John W. Evans Solar Facility', 'ESF']",John W. Evans Solar Facility
['Explorer Spacecraft Series'],Explorer Spacecraft Series
"['Beacon Explorer-B', '1964-064A', 'BE-B']",Beacon Explorer-B
"['1965-098B', 'DME-A', '01806']",1965-098B
"['Atmosphere Explorer-B', '1966-044A', 'AE-B', '02183']",Atmosphere Explorer-B
"['AIMP A', 'IMP D', 'AIMP 1', '02258']",AIMP A
"['Anchored IMP 2', 'IMP E', 'AIMP B', 'AIMP 2', '02884']",Anchored IMP 2
"['Fast Auroral Snapshot', '1996-049A', 'Small Explorer/FAST', 'Explorer 70', 'SMEX/FAST', 'Fast Auroral SnapshoT Explorer']",Fast Auroral Snapshot
['Fermi Gamma-ray Space Telescope'],Fermi Gamma-ray Space Telescope
['MCMU'],MCMU
['FSIM'],FSIM
['FSMI'],FSMI
"['Galileo Orbiter-Probe', 'Jupiter Orbiter-Probe']",Galileo Orbiter-Probe
"['Genesis Solar Wind Sample Return', '2001-034A']",Genesis Solar Wind Sample Return
"['Geomagnetic Tail Lab', '1992-044A', 'GTL', 'ISTP/Geotail', 'GGS/Geotail']",Geomagnetic Tail Lab
['GILL'],GILL
['Giotto'],Giotto
['Gravity Field and Steady-State Ocean Circulation Explorer (GOCE)'],Gravity Field and Steady-State Ocean Circulation Explorer (GOCE)
"['Geostationary Operational Environmental Satellites', 'GOES Satellite Series']",Geostationary Operational Environmental Satellites
"['Geostationary Operational Environmental Satellites 1', '1975-100A']",Geostationary Operational Environmental Satellites 1
"['1997-019A', 'GOES-K']",1997-019A
"['2000-022A', 'GOES-L', 'GOES-NEXT']",2000-022A
"['2001-031A', 'GOES-M']",2001-031A
"['Geostationary Operational Environmental Satellite 13', '2006-018A', 'GOES N']",Geostationary Operational Environmental Satellite 13
"['Geostationary Operational Environmental Satellite 14', 'GOES O', '2009-033A']",Geostationary Operational Environmental Satellite 14
"['Geostationary Operational Environmental Satellite 15', '2010-008A', 'GOES P']",Geostationary Operational Environmental Satellite 15
"['Geostationary Operational Environmental Satellite 16', '2016-071A', 'GOES R']",Geostationary Operational Environmental Satellite 16
"['Geostationary Operational Environmental Satellite 17', '2018-022A', 'GOES S']",Geostationary Operational Environmental Satellite 17
"['Geostationary Operational Environmental Satellites 2', '1977-048A']",Geostationary Operational Environmental Satellites 2
"['Geostationary Operational Environmental Satellites 3', '1978-062A']",Geostationary Operational Environmental Satellites 3
"['1980-074A', 'GOES 4']",1980-074A
"['1981-049A', 'GOES-E']",1981-049A
"['1983-041A', 'GOES-F']",1983-041A
