SPASE_ResourceID,HelioData_short_name,SPASE_ResourceName,HelioData_long_name,SPASE_AlternateName
spase://SMWG/Observatory/BARREL/2Y,BARREL Balloon 2Y,BARREL Balloon 2Y,BARREL Balloon 2Y,['']
spase://SMWG/Observatory/BARREL/3A,BARREL Balloon 3A,BARREL Balloon 3A,BARREL Balloon 3A,['']
spase://SMWG/Observatory/BARREL/3B,BARREL Balloon 3B,BARREL Balloon 3B,BARREL Balloon 3B,['']
spase://SMWG/Observatory/BARREL/3C,BARREL Balloon 3C,BARREL Balloon 3C,BARREL Balloon 3C,['']
spase://SMWG/Observatory/BARREL/3D,BARREL Balloon 3D,BARREL Balloon 3D,BARREL Balloon 3D,['']
spase://SMWG/Observatory/BARREL/3E,BARREL Balloon 3E,BARREL Balloon 3E,BARREL Balloon 3E,['']
spase://SMWG/Observatory/BARREL/3F,BARREL Balloon 3F,BARREL Balloon 3F,BARREL Balloon 3F,['']
spase://SMWG/Observatory/BARREL/3G,BARREL Balloon 3G,BARREL Balloon 3G,BARREL Balloon 3G,['']
spase://SMWG/Observatory/BARREL/4A,BARREL Balloon 4A,BARREL Balloon 4A,BARREL Balloon 4A,['']
spase://SMWG/Observatory/BARREL/4B,BARREL Balloon 4B,BARREL Balloon 4B,BARREL Balloon 4B,['']
spase://SMWG/Observatory/BARREL/4C,BARREL Balloon 4C,BARREL Balloon 4C,BARREL Balloon 4C,['']
spase://SMWG/Observatory/BARREL/4D,BARREL Balloon 4D,BARREL Balloon 4D,BARREL Balloon 4D,['']
spase://SMWG/Observatory/BARREL/4E,BARREL Balloon 4E,BARREL Balloon 4E,BARREL Balloon 4E,['']
spase://SMWG/Observatory/BARREL/4F,BARREL Balloon 4F,BARREL Balloon 4F,BARREL Balloon 4F,['']
spase://SMWG/Observatory/BARREL/4G,BARREL Balloon 4G,BARREL Balloon 4G,BARREL Balloon 4G,['']
spase://SMWG/Observatory/BARREL/4H,BARREL Balloon 4H,BARREL Balloon 4H,BARREL Balloon 4H,['']
spase://SMWG/Observatory/BARREL/5A,BARREL Balloon 5A,BARREL Balloon 5A,BARREL Balloon 5A,['']
spase://SMWG/Observatory/BARREL/6A,BARREL Balloon 6A,BARREL Balloon 6A,BARREL Balloon 6A,['']
spase://SMWG/Observatory/BARREL/7A,BARREL Balloon 7A,BARREL Balloon 7A,BARREL Balloon 7A,['']
spase://SMWG/Observatory/BAS,British Antarctic Survey,British Antarctic Survey,BAS,['BAS']
spase://SMWG/Observatory/BBSO,Big Bear Solar Observatory (BBSO),Big Bear Solar Observatory (BBSO),Big Bear Solar Observatory (BBSO),['']
spase://SMWG/Observatory/BepiColombo,BepiColombo,BepiColombo Spacecraft,BepiColombo Spacecraft,['']
spase://SMWG/Observatory/CARISMA,CARISMA,CARISMA,Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth’s Neighborhood) Program Unified Study,"['Canadian Array for Realtime Investigations of Magnetic Activity', 'CANOPUS', 'Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth’s Neighborhood) Program Unified Study']"
spase://SMWG/Observatory/Cassini,Cassini,Cassini,Cassini Orbiter,['Cassini Orbiter']
spase://SMWG/Observatory/CHAMP,CHAMP,CHAMP,CHAMP,['']
spase://SMWG/Observatory/CLIMAX,CLIMAX,CLIMAX,CLIMAX,['']
spase://SMWG/Observatory/Cluster,Cluster,Cluster Mission,Cluster,['Cluster II']
spase://SMWG/Observatory/Cluster-Rumba,Cluster FM5 (Rumba),Cluster FM5 (Rumba),Cluster 2/FM5 (Rumba),"['Cluster 2/FM5 (Rumba)', '2000-045A', 'FM5', 'Rumba', 'Cluster-1']"
spase://SMWG/Observatory/Cluster-Salsa,Cluster FM6 (Salsa),Cluster FM6 (Salsa),Cluster 2/FM6 (Salsa),"['Cluster 2/FM6 (Salsa)', '2000-041B', 'FM6', 'Salsa', 'Cluster-2']"
spase://SMWG/Observatory/Cluster-Samba,Cluster FM7 (Samba),Cluster FM7 (Samba),Cluster 2/FM7 (Samba),"['Cluster 2/FM7 (Samba)', '2000-041A', 'FM7', 'Samba', 'Cluster-3']"
spase://SMWG/Observatory/Cluster-Tango,Cluster FM8 (Tango),Cluster FM8 (Tango),Cluster 2/FM8 (Tango),"['Cluster 2/FM8 (Tango)', '2000-045B', 'Cluster-4', 'Tango', 'FM8']"
spase://SMWG/Observatory/CNOFS,CNOFS,Communication/Navigation Outage Forecasting System (C/NOFS),Communication/Navigation Outage Forecasting System,['Coupled Ion Neutral Dynamics Investigation (CINDI)']
spase://SMWG/Observatory/Contwoyto,CONT,CONT,CONT,['']
spase://SMWG/Observatory/Coriolis,Coriolis,Coriolis,2003-001A,"['2003-001A', '27640']"
spase://SMWG/Observatory/CORONAS-F,CORONAS-F,CORONAS-F,CORONAS F,"['KORONAS-F', 'AUS-SM-KF']"
spase://SMWG/Observatory/CRRES,CRRES,CRRES,Combined Release and Radiation Effects Satellite,"['1990-065A', 'Combined Release and Radiation Effects Satellite']"
spase://SMWG/Observatory/CubeSat/CSSWE,CSSWE,CSSWE,Colorado Student Space Weather Experiment,"['Colorado Student Space Weather Experiment, CSSWE, CubeSat']"
spase://SMWG/Observatory/Dawn,Dawn,Dawn,Dawn,['']
spase://SMWG/Observatory/Dawson,DAWS,DAWS,DAWS,['']
