SPASE_ResourceID,HelioData_short_name,SPASE_ResourceName,HelioData_long_name,SPASE_AlternateName
spase://SMWG/Observatory/IAGA/Khabarovsk,Khabarovsk,Khabarovsk,Khabarovsk,"['Khabarovsk', 'IAGA:KHB']"
spase://SMWG/Observatory/IAGA/Kharasavey,Kharasavey,Kharasavey,Kharasavey,"['Kharasavey', 'IAGA:KHS']"
spase://SMWG/Observatory/IAGA/Kiel,Kiel,Kiel,IAGA:KIE,"['Kiel', 'IAGA:KIE']"
spase://SMWG/Observatory/IAGA/King.George.Island,King George Island,King George Island,King.George.Island,"['King.George.Island', 'IAGA:KGI']"
spase://SMWG/Observatory/IAGA/King.Point,King Point,King Point,King.Point,"['King.Point', 'IAGA:KPT']"
spase://SMWG/Observatory/IAGA/Kinguafjord,Kinguafjord,Kinguafjord,Kinguafjord,"['Kinguafjord', 'IAGA:KGF']"
spase://SMWG/Observatory/IAGA/Kiruna,Kiruna,Kiruna,IAGA:KIR,"['Kiruna', 'IAGA:KIR']"
spase://SMWG/Observatory/IAGA/Klagenfurt,Klagenfurt,Klagenfurt,Klagenfurt,"['Klagenfurt', 'IAGA:KFT']"
spase://SMWG/Observatory/IAGA/Klyuchi,Klyuchi,Klyuchi,IAGA:KLY,"['Klyuchi', 'IAGA:KLY']"
spase://SMWG/Observatory/IAGA/Kodaikanal,Kodaikanal,Kodaikanal,Kodaikanal,"['Kodaikanal', 'IAGA:KOD']"
spase://SMWG/Observatory/IAGA/Kontagora,Kontagora,Kontagora,Kontagora,"['Kontagora', 'IAGA:KNT']"
spase://SMWG/Observatory/IAGA/Korets,Korets,Korets,IAGA:KTS,"['Korets', 'IAGA:KTS']"
spase://SMWG/Observatory/IAGA/Koror,Koror,Koror,IAGA:KOR,"['Koror', 'IAGA:KOR']"
spase://SMWG/Observatory/IAGA/Kotzebue,Kotzebue,Kotzebue,Kotzebue,"['Kotzebue', 'IAGA:KOT']"
spase://SMWG/Observatory/IAGA/Kourou,Kourou,Kourou,IAGA:KOU,"['Kourou', 'IAGA:KOU']"
spase://SMWG/Observatory/IAGA/Krakau,Krakau,Krakau,IAGA:CRA,"['Krakau', 'IAGA:CRA']"
spase://SMWG/Observatory/IAGA/Krasnaya.Pakhra,Krasnaya Pakhra,Krasnaya Pakhra,Krasnaya.Pakhra,"['Krasnaya.Pakhra', 'IAGA:MOS']"
spase://SMWG/Observatory/IAGA/Kremsmunster,Kremsmunster,Kremsmunster,Kremsmunster,"['Kremsmunster', 'IAGA:KRE']"
spase://SMWG/Observatory/IAGA/Ksara,Ksara,Ksara,IAGA:KSA,"['Ksara', 'IAGA:KSA']"
spase://SMWG/Observatory/IAGA/Kuchino,Kuchino,Kuchino,IAGA:KTC,"['Kuchino', 'IAGA:KTC']"
spase://SMWG/Observatory/IAGA/Kumasi,Kumasi,Kumasi,IAGA:KUM,"['Kumasi', 'IAGA:KUM']"
spase://SMWG/Observatory/IAGA/Kupang,Kupang,Kupang,IAGA:KUP,"['Kupang', 'IAGA:KUP']"
spase://SMWG/Observatory/IAGA/Kuyper,Kuyper,Kuyper,IAGA:KUY,"['Kuyper', 'IAGA:KUY']"
spase://SMWG/Observatory/IAGA/Kwajalein,Kwajalein,Kwajalein,Kwajalein,"['Kwajalein', 'IAGA:KWJ']"
spase://SMWG/Observatory/IAGA/Kzil.Agach,Kzil Agach,Kzil-Agach,Kzil-Agach,"['Kzil-Agach', 'IAGA:KZA']"
spase://SMWG/Observatory/IAGA/La.Maddalena,La Maddalena,La Maddalena,La.Maddalena,"['La.Maddalena', 'IAGA:LMD']"
spase://SMWG/Observatory/IAGA/La.Paz,La Paz,La Paz,IAGA:LPB,"['La.Paz', 'IAGA:LPB']"
spase://SMWG/Observatory/IAGA/La.Quiaca,La Quiaca,La Quiaca,La.Quiaca,"['La.Quiaca', 'IAGA:LQA']"
spase://SMWG/Observatory/IAGA/Langenberg.And.Bochum,Langenberg And Bochum,Langenberg And Bochum,Langenberg.And.Bochum,"['Langenberg.And.Bochum', 'IAGA:BOC']"
spase://SMWG/Observatory/IAGA/Lanzhou,Lanzhou,Lanzhou,IAGA:LZH,"['Lanzhou', 'IAGA:LZH']"
spase://SMWG/Observatory/IAGA/LAquila,L'Aquila,L'Aquila,L'Aquila,"[""L'Aquila"", 'IAGA:AQU']"
spase://SMWG/Observatory/IAGA/Las.Acacias,Las Acacias,Las Acacias,Las.Acacias,"['Las.Acacias', 'IAGA:LAS']"
spase://SMWG/Observatory/IAGA/Lauder,Lauder,Lauder,IAGA:LAU,"['Lauder', 'IAGA:LAU']"
spase://SMWG/Observatory/IAGA/Lazarev,Lazarev,Lazarev,IAGA:LZV,"['Lazarev', 'IAGA:LZV']"
spase://SMWG/Observatory/IAGA/Leadville,Leadville,Leadville,Leadville,"['Leadville', 'IAGA:LDV']"
spase://SMWG/Observatory/IAGA/Learmonth,Learmonth,Learmonth,Learmonth,"['Learmonth', 'IAGA:LRM']"
spase://SMWG/Observatory/IAGA/Leduc,Leduc,Leduc,IAGA:LED,"['Leduc', 'IAGA:LED']"
spase://SMWG/Observatory/IAGA/Leirvogur,LRV,Leirvogur,Leirvogur,"['Leirvogur', 'IAGA:LRV']"
spase://SMWG/Observatory/IAGA/Lerwick,Lerwick,Lerwick,IAGA:LER,"['Lerwick', 'IAGA:LER']"
spase://SMWG/Observatory/IAGA/Lhasa,Lhasa,Lhasa,IAGA:LSA,"['Lhasa', 'IAGA:LSA']"
spase://SMWG/Observatory/IAGA/Lisbon,Lisbon,Lisbon,IAGA:LIS,"['Lisbon', 'IAGA:LIS']"
spase://SMWG/Observatory/IAGA/Little.America,Little America,Little America,Little.America,"['Little.America', 'IAGA:LAA']"
spase://SMWG/Observatory/IAGA/Livingston.Island,Livingston Island,Livingston Island,Livingston.Island,"['Livingston.Island', 'IAGA:LIV']"
spase://SMWG/Observatory/IAGA/Logrono,Logrono,Logrono,IAGA:LGR,"['Logrono', 'IAGA:LGR']"
spase://SMWG/Observatory/IAGA/Lompoc,Lompoc,Lompoc,IAGA:LOC,"['Lompoc', 'IAGA:LOC']"
spase://SMWG/Observatory/IAGA/Loparskaya,Loparskaya Murmansk,Loparskaya/Murmansk,Murmansk,"['Murmansk', 'IAGA:MMK']"
spase://SMWG/Observatory/IAGA/Loring.AFB,Loring AFB,Loring AFB,Loring.AFB,"['Loring.AFB', 'IAGA:LOB']"
spase://SMWG/Observatory/IAGA/Los.Angeles,Los Angeles,Los Angeles,Los.Angeles,"['Los.Angeles', 'IAGA:LOS']"
spase://SMWG/Observatory/IAGA/Lourenco.Marques,Lourenco Marques,Lourenco Marques,Lourenco.Marques,"['Lourenco.Marques', 'IAGA:LMM']"
spase://SMWG/Observatory/IAGA/Lovo,Lovo,Lovo,IAGA:LOV,"['Lovo', 'IAGA:LOV']"
spase://SMWG/Observatory/IAGA/Lovozero,LOZ,Lovozero,Lovozero,"['Lovozero', 'IAGA:LOZ']"
spase://SMWG/Observatory/IAGA/Luanda,Luanda,Luanda,IAGA:LUA,"['Luanda', 'IAGA:LUA']"
spase://SMWG/Observatory/IAGA/Lubeck,Lubeck,Lubeck,IAGA:LUB,"['Lubeck', 'IAGA:LUB']"
spase://SMWG/Observatory/IAGA/Lucky.Lake,LUC,Lucky Lake,Lucky.Lake,"['Lucky.Lake', 'IAGA:LUC']"
spase://SMWG/Observatory/IAGA/Lukiapang.1,Lukiapang 1,Lukiapang-1,Lukiapang-1,"['Lukiapang-1', 'IAGA:LKP']"
spase://SMWG/Observatory/IAGA/Lukiapang.2,Lukiapang 2,Lukiapang-2,Lukiapang-2,"['Lukiapang-2', 'IAGA:LUK']"
spase://SMWG/Observatory/IAGA/Lunping,Lunping,Lunping,IAGA:LNP,"['Lunping', 'IAGA:LNP']"
spase://SMWG/Observatory/IAGA/Lvov,Lvov,Lvov,IAGA:LVV,"['Lvov', 'IAGA:LVV']"
spase://SMWG/Observatory/IAGA/Lwiro,Lwiro,Lwiro,IAGA:LWI,"['Lwiro', 'IAGA:LWI']"
spase://SMWG/Observatory/IAGA/Lynn.Lake,Lynn Lake,Lynn Lake,Lynn.Lake,"['Lynn.Lake', 'IAGA:LYN']"
spase://SMWG/Observatory/IAGA/Macquarie.Island,Macquarie Island,Macquarie Island,Macquarie.Island,"['Macquarie.Island', 'IAGA:MCQ']"
spase://SMWG/Observatory/IAGA/Madras,Madras,Madras,IAGA:MDS,"['Madras', 'IAGA:MDS']"
spase://SMWG/Observatory/IAGA/Madrid,Madrid,Madrid,IAGA:MDD,"['Madrid', 'IAGA:MDD']"
spase://SMWG/Observatory/IAGA/Magadan,Magadan,Magadan,IAGA:MGD,"['Magadan', 'IAGA:MGD']"
spase://SMWG/Observatory/IAGA/Magallanes,Magallanes,Magallanes,Magallanes,"['Magallanes', 'IAGA:MGS']"
spase://SMWG/Observatory/IAGA/Maisach.1,Maisach 1,Maisach-1,Maisach-1,"['Maisach-1', 'IAGA:MAS']"
spase://SMWG/Observatory/IAGA/Maisach.2,Maisach 2,Maisach-2,Maisach-2,"['Maisach-2', 'IAGA:MSC']"
spase://SMWG/Observatory/IAGA/Maitun,Maitun Vladivostok,Maitun/Vladivostok,Vladivostok,"['Vladivostok', 'IAGA:MAI']"
spase://SMWG/Observatory/IAGA/Majuro,Majuro,Majuro,IAGA:MJR,"['Majuro', 'IAGA:MJR']"
spase://SMWG/Observatory/IAGA/Makerstoun,Makerstoun,Makerstoun,Makerstoun,"['Makerstoun', 'IAGA:MAK']"
spase://SMWG/Observatory/IAGA/Malyye.Karmakuly,Malyye Karmakuly,Malyye Karmakuly,Malyye.Karmakuly,"['Malyye.Karmakuly', 'IAGA:MKL']"
spase://SMWG/Observatory/IAGA/Manado,Manado,Manado,IAGA:MND,"['Manado', 'IAGA:MND']"
spase://SMWG/Observatory/IAGA/Manhay,Manhay,Manhay,IAGA:MAB,"['Manhay', 'IAGA:MAB']"
spase://SMWG/Observatory/IAGA/Manila,Manila,Manila,IAGA:MAN,"['Manila', 'IAGA:MAN']"
spase://SMWG/Observatory/IAGA/Manzhouli,Manzhouli,Manzhouli,Manzhouli,"['Manzhouli', 'IAGA:MZL']"
spase://SMWG/Observatory/IAGA/Marion.Island,Marion Island,Marion Island,Marion.Island,"['Marion.Island', 'IAGA:MRN']"
spase://SMWG/Observatory/IAGA/Martin.De.Vivies,Martin De Vivies,Martin De Vivies,Martin.De.Vivies,"['Martin.De.Vivies', 'IAGA:AMS']"
spase://SMWG/Observatory/IAGA/Matochkin.Shar,Matochkin Shar,Matochkin Shar,Matochkin.Shar,"['Matochkin.Shar', 'IAGA:MSR']"
spase://SMWG/Observatory/IAGA/Mauritius,Mauritius,Mauritius,Mauritius,"['Mauritius', 'IAGA:MRI']"
spase://SMWG/Observatory/IAGA/Mawson,Mawson,Mawson,IAGA:MAW,"['Mawson', 'IAGA:MAW']"
spase://SMWG/Observatory/IAGA/MBour,MBour,MBour,IAGA:MBO,"['MBour', 'IAGA:MBO']"
spase://SMWG/Observatory/IAGA/Mcmath.Hulbert,Mcmath Hulbert,Mcmath-Hulbert,Mcmath-Hulbert,"['Mcmath-Hulbert', 'IAGA:MMH']"
spase://SMWG/Observatory/IAGA/Mcmurdo,Mcmurdo,Mcmurdo,IAGA:MCM,"['Mcmurdo', 'IAGA:MCM']"
spase://SMWG/Observatory/IAGA/Meanook,MEA,Meanook,IAGA:MEA,"['Meanook', 'IAGA:MEA']"
spase://SMWG/Observatory/IAGA/Melbourne,Melbourne,Melbourne,Melbourne,"['Melbourne', 'IAGA:MEL']"
spase://SMWG/Observatory/IAGA/Melville.AFB,Melville AFB,Melville AFB,Melville.AFB,"['Melville.AFB', 'IAGA:MEV']"
spase://SMWG/Observatory/IAGA/Memambetsu,Memambetsu,Memambetsu,Memambetsu,"['Memambetsu', 'IAGA:MMB']"
spase://SMWG/Observatory/IAGA/Mexico.City,Mexico City,Mexico City,Mexico.City,"['Mexico.City', 'IAGA:MEX']"
spase://SMWG/Observatory/IAGA/Midway.1,Midway 1,Midway-1,Midway-1,"['Midway-1', 'IAGA:MDY']"
spase://SMWG/Observatory/IAGA/Midway.2,Midway 2,Midway-2,Midway-2,"['Midway-2', 'IAGA:MID']"
spase://SMWG/Observatory/IAGA/Mikolow,Mikolow,Mikolow,IAGA:BMK,"['Mikolow', 'IAGA:BMK']"
spase://SMWG/Observatory/IAGA/Minamitory.Shima,Minamitory Shima,Minamitory Shima,Minamitory.Shima,"['Minamitory.Shima', 'IAGA:MIN']"
spase://SMWG/Observatory/IAGA/Minneapolis,Minneapolis,Minneapolis,Minneapolis,"['Minneapolis', 'IAGA:MNN']"
spase://SMWG/Observatory/IAGA/Minsk,Minsk Pleshenitzi,Minsk/Pleshenitzi,Pleshenitzi,"['Pleshenitzi', 'IAGA:MNK']"
spase://SMWG/Observatory/IAGA/Mirny,Mirny,Mirny,IAGA:MIR,"['Mirny', 'IAGA:MIR']"
spase://SMWG/Observatory/IAGA/Misallat,Misallat,Misallat,Misallat,"['Misallat', 'IAGA:MLT']"
spase://SMWG/Observatory/IAGA/Miyazu,Miyazu,Miyazu,IAGA:MIU,"['Miyazu', 'IAGA:MIU']"
spase://SMWG/Observatory/IAGA/Mizuho,Mizuho,Mizuho,IAGA:MIO,"['Mizuho', 'IAGA:MIO']"
spase://SMWG/Observatory/IAGA/Mizusawa,Mizusawa,Mizusawa,Mizusawa,"['Mizusawa', 'IAGA:MIZ']"
spase://SMWG/Observatory/IAGA/Mo.He,Mo He,Mo He,IAGA:MOH,"['Mo.He', 'IAGA:MOH']"
spase://SMWG/Observatory/IAGA/Moca,Moca,Moca,IAGA:MFP,"['Moca', 'IAGA:MFP']"
spase://SMWG/Observatory/IAGA/Modiim,Modiim,Modiim,IAGA:MOD,"['Modiim', 'IAGA:MOD']"
spase://SMWG/Observatory/IAGA/Mogadiscio,Mogadiscio,Mogadiscio,Mogadiscio,"['Mogadiscio', 'IAGA:MOG']"
spase://SMWG/Observatory/IAGA/Molodezhnaya,Molodezhnaya,Molodezhnaya,Molodezhnaya,"['Molodezhnaya', 'IAGA:MOL']"
spase://SMWG/Observatory/IAGA/Moskva,Moskva,Moskva,IAGA:MSK,"['Moskva', 'IAGA:MSK']"
spase://SMWG/Observatory/IAGA/Mould.Bay,Mould Bay,Mould Bay,Mould.Bay,"['Mould.Bay', 'IAGA:MBC']"
spase://SMWG/Observatory/IAGA/Mount.Weather,Mount Weather,Mount Weather,Mount.Weather,"['Mount.Weather', 'IAGA:MWR']"
spase://SMWG/Observatory/IAGA/Mt.Clemens,Mt Clemens,Mt Clemens,Mt.Clemens,"['Mt.Clemens', 'IAGA:MCL']"
spase://SMWG/Observatory/IAGA/Mt.Wilson,Mt Wilson,Mt Wilson,Mt.Wilson,"['Mt.Wilson', 'IAGA:MWC']"
spase://SMWG/Observatory/IAGA/Munchen,Munchen,Munchen,IAGA:MNH,"['Munchen', 'IAGA:MNH']"
spase://SMWG/Observatory/IAGA/Muntinlupa,Muntinlupa,Muntinlupa,Muntinlupa,"['Muntinlupa', 'IAGA:MUT']"
spase://SMWG/Observatory/IAGA/Murchison.Bay,Murchison Bay,Murchison Bay,Murchison.Bay,"['Murchison.Bay', 'IAGA:MUB']"
spase://SMWG/Observatory/IAGA/Murmansk,Murmansk,Murmansk,Murmansk,"['Murmansk', 'IAGA:MRM']"
spase://SMWG/Observatory/IAGA/Nagpur,Nagpur,Nagpur,IAGA:NGP,"['Nagpur', 'IAGA:NGP']"
spase://SMWG/Observatory/IAGA/Nagycenk,Nagycenk,Nagycenk,Nagycenk,"['Nagycenk', 'IAGA:NCK']"
spase://SMWG/Observatory/IAGA/Nairobi,Nairobi,Nairobi,IAGA:NAI,"['Nairobi', 'IAGA:NAI']"
spase://SMWG/Observatory/IAGA/Nampula,Nampula,Nampula,IAGA:NMP,"['Nampula', 'IAGA:NMP']"
spase://SMWG/Observatory/IAGA/Nanortalik,Nanortalik,Nanortalik,Nanortalik,"['Nanortalik', 'IAGA:NNT']"
spase://SMWG/Observatory/IAGA/Nantes,Nantes,Nantes,IAGA:NTS,"['Nantes', 'IAGA:NTS']"
spase://SMWG/Observatory/IAGA/Narssarssuaq,Narssarssuaq,Narssarssuaq,Narssarssuaq,"['Narssarssuaq', 'IAGA:NAQ']"
spase://SMWG/Observatory/IAGA/Nerchinsk,Nerchinsk,Nerchinsk,Nerchinsk,"['Nerchinsk', 'IAGA:NER']"
spase://SMWG/Observatory/IAGA/Neufahrwasser,Neufahrwasser,Neufahrwasser,Neufahrwasser,"['Neufahrwasser', 'IAGA:NFW']"
spase://SMWG/Observatory/IAGA/Neumayer.Station.III,Neumayer Station III,Neumayer Station III,IAGA:VNA,"['VNA', 'IAGA:VNA']"
spase://SMWG/Observatory/IAGA/New.Alesund,New Alesund,New Alesund,New.Alesund,"['New.Alesund', 'IAGA:NAL']"
spase://SMWG/Observatory/IAGA/New.Year.Island,New Year Island,New Year Island,New.Year.Island,"['New.Year.Island', 'IAGA:NYI']"
spase://SMWG/Observatory/IAGA/Newport,Newport,Newport,IAGA:NEW,"['Newport', 'IAGA:NEW']"
spase://SMWG/Observatory/IAGA/Nice,Nice,Nice,IAGA:NCE,"['Nice', 'IAGA:NCE']"
spase://SMWG/Observatory/IAGA/Nida,Nida,Nida,IAGA:NDA,"['Nida', 'IAGA:NDA']"
spase://SMWG/Observatory/IAGA/Niemegk,Niemegk,Niemegk,IAGA:NGK,"['Niemegk', 'IAGA:NGK']"
spase://SMWG/Observatory/IAGA/Nitsanim,Nitsanim,Nitsanim,Nitsanim,"['Nitsanim', 'IAGA:NSM']"
spase://SMWG/Observatory/IAGA/Nizhnedevitsk,Nizhnedevitsk,Nizhnedevitsk,Nizhnedevitsk,"['Nizhnedevitsk', 'IAGA:NNV']"
spase://SMWG/Observatory/IAGA/Nord,NRD,Nord,IAGA:NRD,"['Nord', 'IAGA:NRD']"
spase://SMWG/Observatory/IAGA/Norilsk,Norilsk,Norilsk,IAGA:NOK,"['Norilsk', 'IAGA:NOK']"
spase://SMWG/Observatory/IAGA/Norman.Wells,Norman Wells,Norman Wells,Norman.Wells,"['Norman.Wells', 'IAGA:NOW']"
spase://SMWG/Observatory/IAGA/North.Pole.10,North Pole 10,North Pole 10,North.Pole.10,"['North.Pole.10', 'IAGA:NPJ']"
spase://SMWG/Observatory/IAGA/North.Pole.12,North Pole 12,North Pole 12,North.Pole.12,"['North.Pole.12', 'IAGA:NPL']"
spase://SMWG/Observatory/IAGA/North.Pole.13,North Pole 13,North Pole 13,North.Pole.13,"['North.Pole.13', 'IAGA:NPM']"
spase://SMWG/Observatory/IAGA/North.Pole.6,North Pole 6,North Pole 6,North.Pole.6,"['North.Pole.6', 'IAGA:NPF']"
spase://SMWG/Observatory/IAGA/North.Pole.7,North Pole 7,North Pole 7,North.Pole.7,"['North.Pole.7', 'IAGA:NPG']"
spase://SMWG/Observatory/IAGA/North.Pole.8,North Pole 8,North Pole 8,North.Pole.8,"['North.Pole.8', 'IAGA:NPH']"
spase://SMWG/Observatory/IAGA/Northway,Northway,Northway,Northway,"['Northway', 'IAGA:NRW']"
spase://SMWG/Observatory/IAGA/Norway.House,Norway House,Norway House,Norway.House,"['Norway.House', 'IAGA:NHO']"
spase://SMWG/Observatory/IAGA/Norway.Station,Norway Station,Norway Station,Norway.Station,"['Norway.Station', 'IAGA:NWS']"
spase://SMWG/Observatory/IAGA/Novokazalinsk,Novokazalinsk,Novokazalinsk,Novokazalinsk,"['Novokazalinsk', 'IAGA:NKK']"
spase://SMWG/Observatory/IAGA/Novolazarevskaya,Novolazarevskaya,Novolazarevskaya,Novolazarevskaya,"['Novolazarevskaya', 'IAGA:NVL']"
spase://SMWG/Observatory/IAGA/Novosibirsk,Novosibirsk,Novosibirsk,Novosibirsk,"['Novosibirsk', 'IAGA:NVS']"
spase://SMWG/Observatory/IAGA/Numto,Numto,Numto,IAGA:NMT,"['Numto', 'IAGA:NMT']"
spase://SMWG/Observatory/IAGA/Nurmijarvi,NUR,Nurmijarvi,Nurmijarvi,"['Nurmijarvi', 'IAGA:NUR']"
spase://SMWG/Observatory/IAGA/Oasis,Oasis,Oasis,IAGA:OAS,"['Oasis', 'IAGA:OAS']"
spase://SMWG/Observatory/IAGA/Odessa,Odessa,Odessa,IAGA:ODA,"['Odessa', 'IAGA:ODA']"
spase://SMWG/Observatory/IAGA/OGyalia,O'Gyalia,O'Gyalia,O'Gyalia,"[""O'Gyalia"", 'IAGA:OGY']"
spase://SMWG/Observatory/IAGA/Okinawa,Okinawa,Okinawa,IAGA:OKN,"['Okinawa', 'IAGA:OKN']"
spase://SMWG/Observatory/IAGA/Onagawa,Onagawa,Onagawa,IAGA:ONW,"['Onagawa', 'IAGA:ONW']"
spase://SMWG/Observatory/IAGA/Orange.Bay,Orange Bay,Orange Bay,Orange.Bay,"['Orange.Bay', 'IAGA:ORB']"
spase://SMWG/Observatory/IAGA/Orcadas.Del.Sur,Orcadas Del Sur,Orcadas Del Sur,Orcadas.Del.Sur,"['Orcadas.Del.Sur', 'IAGA:ORC']"
spase://SMWG/Observatory/IAGA/Oslo,Oslo,Oslo,IAGA:OSL,"['Oslo', 'IAGA:OSL']"
spase://SMWG/Observatory/IAGA/Otomari,Otomari,Otomari,IAGA:OTM,"['Otomari', 'IAGA:OTM']"
spase://SMWG/Observatory/IAGA/Ottawa,OTT,Ottawa,IAGA:OTT,"['Ottawa', 'IAGA:OTT']"
spase://SMWG/Observatory/IAGA/Oulujarvi,OUL,Oulujarvi,Oulujarvi,"['Oulujarvi', 'IAGA:OUL']"
spase://SMWG/Observatory/IAGA/Palau,Palau,Palau,IAGA:PLA,"['Palau', 'IAGA:PLA']"
spase://SMWG/Observatory/IAGA/Palmyra.Island,Palmyra Island,Palmyra Island,Palmyra.Island,"['Palmyra.Island', 'IAGA:PAI']"
spase://SMWG/Observatory/IAGA/Panagyurishte,Panagyurishte,Panagyurishte,Panagyurishte,"['Panagyurishte', 'IAGA:PAG']"
spase://SMWG/Observatory/IAGA/Papeete,Papeete,Papeete,IAGA:PPT,"['Papeete', 'IAGA:PPT']"
spase://SMWG/Observatory/IAGA/Paramaribo,Paramaribo,Paramaribo,Paramaribo,"['Paramaribo', 'IAGA:PAB']"
spase://SMWG/Observatory/IAGA/Paratunka,Paratunka Petropavlovsk,Paratunka/Petropavlovsk,Petropavlovsk,"['Petropavlovsk', 'IAGA:PET']"
spase://SMWG/Observatory/IAGA/Patacamaya,Patacamaya,Patacamaya,Patacamaya,"['Patacamaya', 'IAGA:PTY']"
spase://SMWG/Observatory/IAGA/Patrick,Patrick,Patrick,IAGA:PAT,"['Patrick', 'IAGA:PAT']"
spase://SMWG/Observatory/IAGA/Patrony,Patrony Irkoutsk,Patrony/Irkoutsk,Irkoutsk,"['Irkoutsk', 'IAGA:IRT']"
spase://SMWG/Observatory/IAGA/Pebek,Pebek,Pebek,IAGA:PBK,"['Pebek', 'IAGA:PBK']"
spase://SMWG/Observatory/IAGA/Pedeli,Pedeli,Pedeli,IAGA:PEG,"['Pedeli', 'IAGA:PEG']"
spase://SMWG/Observatory/IAGA/Peking.1,Peking,Peking 1,Peking.1,"['Peking.1', 'IAGA:PEK']"
spase://SMWG/Observatory/IAGA/Penang,Penang,Penang,IAGA:PNN,"['Penang', 'IAGA:PNN']"
spase://SMWG/Observatory/IAGA/Perpignan,Perpignan,Perpignan,Perpignan,"['Perpignan', 'IAGA:PER']"
spase://SMWG/Observatory/IAGA/Petsamo,Petsamo,Petsamo,IAGA:PTS,"['Petsamo', 'IAGA:PTS']"
spase://SMWG/Observatory/IAGA/Philadelphia,Philadelphia,Philadelphia,Philadelphia,"['Philadelphia', 'IAGA:PGC']"
spase://SMWG/Observatory/IAGA/Phutuy,Phutuy,Phutuy,IAGA:PHU,"['Phutuy', 'IAGA:PHU']"
spase://SMWG/Observatory/IAGA/Pilar,Pilar,Pilar,IAGA:PIL,"['Pilar', 'IAGA:PIL']"
spase://SMWG/Observatory/IAGA/Pionerskaya,Pionerskaya,Pionerskaya,Pionerskaya,"['Pionerskaya', 'IAGA:PIO']"
spase://SMWG/Observatory/IAGA/Pitlekaya,Pitlekaya,Pitlekaya,Pitlekaya,"['Pitlekaya', 'IAGA:PTL']"
spase://SMWG/Observatory/IAGA/Plaisance,Plaisance,Plaisance,Plaisance,"['Plaisance', 'IAGA:PLS']"
spase://SMWG/Observatory/IAGA/Plateau,Plateau,Plateau,IAGA:PTU,"['Plateau', 'IAGA:PTU']"
spase://SMWG/Observatory/IAGA/Podkamenaya.Tunguska,Podkamenaya Tunguska,Podkamenaya Tunguska,Podkamenaya.Tunguska,"['Podkamenaya.Tunguska', 'IAGA:POD']"
spase://SMWG/Observatory/IAGA/Poker.Flat,POK,Poker Flat,Poker.Flat,"['Poker.Flat', 'IAGA:POK']"
spase://SMWG/Observatory/IAGA/Pola,Pola,Pola,IAGA:POL,"['Pola', 'IAGA:POL']"
spase://SMWG/Observatory/IAGA/Pondicherry,Pondicherry,Pondicherry,Pondicherry,"['Pondicherry', 'IAGA:PND']"
spase://SMWG/Observatory/IAGA/Port.Aux.Francais,Port Aux Francais,Port Aux Francais,Port.Aux.Francais,"['Port.Aux.Francais', 'IAGA:PAF']"
spase://SMWG/Observatory/IAGA/Port.Foulke,Port Foulke,Port Foulke,Port.Foulke,"['Port.Foulke', 'IAGA:PFK']"
spase://SMWG/Observatory/IAGA/Port.Jeanne.DArc,Port Jeanne D'Arc,Port Jeanne D'Arc,Port.Jeanne.D'Arc,"[""Port.Jeanne.D'Arc"", 'IAGA:PJA']"
spase://SMWG/Observatory/IAGA/Port.Moresby,Port Moresby,Port Moresby,Port.Moresby,"['Port.Moresby', 'IAGA:PMG']"
spase://SMWG/Observatory/IAGA/Port.Stanley,Port Stanley,Port Stanley,Port.Stanley,"['Port.Stanley', 'IAGA:PST']"
spase://SMWG/Observatory/IAGA/Poste.De.La.Baleine,Poste De La Baleine,Poste De La Baleine,Poste.De.La.Baleine,"['Poste.De.La.Baleine', 'IAGA:PBQ']"
spase://SMWG/Observatory/IAGA/Potsdam,Potsdam,Potsdam,IAGA:POT,"['Potsdam', 'IAGA:POT']"
spase://SMWG/Observatory/IAGA/Prague,Prague,Prague,IAGA:PRA,"['Prague', 'IAGA:PRA']"
spase://SMWG/Observatory/IAGA/Preobrazhenia,Preobrazhenia,Preobrazhenia,Preobrazhenia,"['Preobrazhenia', 'IAGA:PRE']"
spase://SMWG/Observatory/IAGA/Price,Price,Price,IAGA:PCU,"['Price', 'IAGA:PCU']"
spase://SMWG/Observatory/IAGA/Pruhonice,Pruhonice,Pruhonice,Pruhonice,"['Pruhonice', 'IAGA:PRU']"
spase://SMWG/Observatory/IAGA/Qianling,Qianling,Qianling,Qianling,"['Qianling', 'IAGA:QIX']"
spase://SMWG/Observatory/IAGA/Qiongzhong,Qiongzhong,Qiongzhong,Qiongzhong,"['Qiongzhong', 'IAGA:QGZ']"
spase://SMWG/Observatory/IAGA/Qsaybeh,Qsaybeh,Qsaybeh,IAGA:QSB,"['Qsaybeh', 'IAGA:QSB']"
spase://SMWG/Observatory/IAGA/Quanzhou,Quanzhou,Quanzhou,Quanzhou,"['Quanzhou', 'IAGA:QZH']"
spase://SMWG/Observatory/IAGA/Quetta,Quetta,Quetta,IAGA:QUE,"['Quetta', 'IAGA:QUE']"
spase://SMWG/Observatory/IAGA/Raciborg,Raciborg,Raciborg,Raciborg,"['Raciborg', 'IAGA:RAC']"
spase://SMWG/Observatory/IAGA/Rankin.Inlet,RIT,Rankin Inlet,Rankin.Inlet,"['Rankin.Inlet', 'IAGA:RIT']"
spase://SMWG/Observatory/IAGA/Rapid.City,Rapid City,Rapid City,Rapid.City,"['Rapid.City', 'IAGA:RPC']"
