SPASE_ResourceID,SPASE_ResourceName,HelioData_short_name
spase://SMWG/Observatory/Ground/Tiksi,TIK,Tiksi Geophysical Observatory
spase://SMWG/Observatory/Ground/Toolik.Lake,TOOL,Toolik Lake Geophysical Observatory
spase://SMWG/Observatory/Ground/Trapper.Creek,TRAP,Trapper Creek Geophysical Observatory
spase://SMWG/Observatory/Ground/Tristan.da.Cunha,TDC,Tristan Da Cunha Geophysical Observatory
spase://SMWG/Observatory/Ground/Tromso,TRO,Tromso Geophysical Observatory
spase://SMWG/Observatory/Ground/Ukiah,UKIA,Ukiah Geophysical Observatory
spase://SMWG/Observatory/Ground/Upernavik,UPN,Upernavik Geophysical Observatory
spase://SMWG/Observatory/Ground/Uummannaq,UPS,Uummannaq Geophysical Observatory
spase://SMWG/Observatory/Ground/Val.d.Or,VLDR,Val-d'Or Geophysical Observatory
spase://SMWG/Observatory/Ground/Vize.Island,VIZ,Vize Island Geophysical Observatory
spase://SMWG/Observatory/Ground/Wallops.Island,WLPS,Wallops Island Geophysical Observatory
spase://SMWG/Observatory/Ground/Whitehorse,WHIT,Whitehorse Geophysical Observatory
spase://SMWG/Observatory/Ground/Worthington,WRTH,Worthington Geophysical Observatory
spase://SMWG/Observatory/Helios,Helios,Helios Mission
spase://SMWG/Observatory/HEO1,HEO 1,HEO-1
spase://SMWG/Observatory/HEO2,HEO 2,HEO-2
spase://SMWG/Observatory/HEO3,HEO 3,HEO-3
spase://SMWG/Observatory/IAGA/Amderma,AMD,Amderma
spase://SMWG/Observatory/IAGA/Anchorage,AMU,Anchorage
spase://SMWG/Observatory/IAGA/Arctic.Village,AVI,Arctic Village
spase://SMWG/Observatory/IAGA/Argentine.Island,Argentine Island Vernadski,Argentine Island/Vernadski
spase://SMWG/Observatory/IAGA/Ashkhabad,Ashkhabad Vannovskaya,Ashkhabad/Vannovskaya
spase://SMWG/Observatory/IAGA/Au.Tau,Au Tau,Au-Tau
spase://SMWG/Observatory/IAGA/Baker.Lake,BLC,Baker Lake
spase://SMWG/Observatory/IAGA/Barentsburg,BBG,Barentsburg
spase://SMWG/Observatory/IAGA/Barrow,BRW,Barrow
spase://SMWG/Observatory/IAGA/Bei.Jing,Bei Jing,Bei-Jing
spase://SMWG/Observatory/IAGA/Berezniaki,Berezniaki Karaganda,Berezniaki/Karaganda
spase://SMWG/Observatory/IAGA/Boulder,BOU,Boulder
spase://SMWG/Observatory/IAGA/Brorfelde,BFE,Brorfelde
spase://SMWG/Observatory/IAGA/Cambridge.Bay,CBB,Cambridge Bay
spase://SMWG/Observatory/IAGA/College,CMO,College
spase://SMWG/Observatory/IAGA/Crozet,Crozet Port Alfred,Crozet/Port Alfred
spase://SMWG/Observatory/IAGA/Dombas,DOB,Dombas
spase://SMWG/Observatory/IAGA/Fort.Churchill.2,Fort Churchill,Fort Churchill 2
spase://SMWG/Observatory/IAGA/Fort.Simpson,FSP,Fort Simpson
spase://SMWG/Observatory/IAGA/Fort.Smith,FSM,Fort Smith
spase://SMWG/Observatory/IAGA/Fort.Yukon,FYU,Fort Yukon
spase://SMWG/Observatory/IAGA/Fredericksburg,FRD,Fredericksburg
spase://SMWG/Observatory/IAGA/Fresno,FRN,Fresno
spase://SMWG/Observatory/IAGA/Gillam,GIM,Gillam
spase://SMWG/Observatory/IAGA/Gornotayezhnaya,Gornotayezhnaya Vladivostok,Gornotayezhnaya/Vladivostok
spase://SMWG/Observatory/IAGA/Gottingen.1,Gottingen 1,Gottingen-1
spase://SMWG/Observatory/IAGA/Gottingen.2,Gottingen 2,Gottingen-2
spase://SMWG/Observatory/IAGA/Hankasalmi,HAN,Hankasalmi
spase://SMWG/Observatory/IAGA/Hong.Kong.1,Hong Kong,Hong Kong 1
spase://SMWG/Observatory/IAGA/Honolulu.1.2.3,Honolulu 1 2 3,Honolulu 1-2-3
spase://SMWG/Observatory/IAGA/Ile.Ife,Ile Ife,Ile-Ife
spase://SMWG/Observatory/IAGA/Inuvik,INK,Inuvik
spase://SMWG/Observatory/IAGA/Iqaluit,IQA,Iqaluit
spase://SMWG/Observatory/IAGA/Ivalo,IVA,Ivalo
spase://SMWG/Observatory/IAGA/Jan.Mayen,JMI,Jan Mayen
spase://SMWG/Observatory/IAGA/Kaliningrad.1,Kaliningrad 1,Kaliningrad-1
spase://SMWG/Observatory/IAGA/Kaliningrad.2,Kaliningrad 2,Kaliningrad-2
spase://SMWG/Observatory/IAGA/Kzil.Agach,Kzil Agach,Kzil-Agach
spase://SMWG/Observatory/IAGA/Leirvogur,LRV,Leirvogur
spase://SMWG/Observatory/IAGA/Loparskaya,Loparskaya Murmansk,Loparskaya/Murmansk
spase://SMWG/Observatory/IAGA/Lovozero,LOZ,Lovozero
spase://SMWG/Observatory/IAGA/Lucky.Lake,LUC,Lucky Lake
spase://SMWG/Observatory/IAGA/Lukiapang.1,Lukiapang 1,Lukiapang-1
spase://SMWG/Observatory/IAGA/Lukiapang.2,Lukiapang 2,Lukiapang-2
spase://SMWG/Observatory/IAGA/Maisach.1,Maisach 1,Maisach-1
spase://SMWG/Observatory/IAGA/Maisach.2,Maisach 2,Maisach-2
spase://SMWG/Observatory/IAGA/Maitun,Maitun Vladivostok,Maitun/Vladivostok
spase://SMWG/Observatory/IAGA/Mcmath.Hulbert,Mcmath Hulbert,Mcmath-Hulbert
spase://SMWG/Observatory/IAGA/Meanook,MEA,Meanook
spase://SMWG/Observatory/IAGA/Midway.1,Midway 1,Midway-1
spase://SMWG/Observatory/IAGA/Midway.2,Midway 2,Midway-2
spase://SMWG/Observatory/IAGA/Minsk,Minsk Pleshenitzi,Minsk/Pleshenitzi
spase://SMWG/Observatory/IAGA/Nord,NRD,Nord
spase://SMWG/Observatory/IAGA/Nurmijarvi,NUR,Nurmijarvi
spase://SMWG/Observatory/IAGA/Ottawa,OTT,Ottawa
spase://SMWG/Observatory/IAGA/Oulujarvi,OUL,Oulujarvi
spase://SMWG/Observatory/IAGA/Paratunka,Paratunka Petropavlovsk,Paratunka/Petropavlovsk
spase://SMWG/Observatory/IAGA/Patrony,Patrony Irkoutsk,Patrony/Irkoutsk
spase://SMWG/Observatory/IAGA/Peking.1,Peking,Peking 1
spase://SMWG/Observatory/IAGA/Poker.Flat,POK,Poker Flat
spase://SMWG/Observatory/IAGA/Rankin.Inlet,RIT,Rankin Inlet
spase://SMWG/Observatory/IAGA/S.Cruz.De.Tenerife,S Cruz De Tenerife Las Mesas,S Cruz De Tenerife/Las Mesas
spase://SMWG/Observatory/IAGA/San.Juan.1.2.3,San Juan 1 2 3,San Juan 1-2-3
spase://SMWG/Observatory/IAGA/She.Shan,She Shan,She-Shan
spase://SMWG/Observatory/IAGA/Shumagin,SHU,Shumagin
spase://SMWG/Observatory/IAGA/Sitka,SIT,Sitka
spase://SMWG/Observatory/IAGA/St.Johns,STJ,St. John's
spase://SMWG/Observatory/IAGA/Stettin.Zabelsdorf,Stettin Zabelsdorf,Stettin-Zabelsdorf
spase://SMWG/Observatory/IAGA/Sverdlovsk,Sverdlovsk Yekaterinburg,Sverdlovsk/Yekaterinburg
spase://SMWG/Observatory/IAGA/Taipei,Taipei Taihoku,Taipei/Taihoku
spase://SMWG/Observatory/IAGA/Tashkent.1,Tashkent 1,Tashkent-1
spase://SMWG/Observatory/IAGA/Tashkent.2,Tashkent 2 Yangi Bazar,Tashkent-2/Yangi-Bazar
spase://SMWG/Observatory/IAGA/Thule.1,Thule 1 Dundas,Thule 1/Dundas
spase://SMWG/Observatory/IAGA/Thule.2,Thule 2 Camp Tuto,Thule-2/Camp Tuto
spase://SMWG/Observatory/IAGA/Thule.3,Thule 3 Qanaq,Thule-3/Qanaq
spase://SMWG/Observatory/IAGA/Tromso,TRO,Tromso
spase://SMWG/Observatory/IAGA/Tsingtao,Tsingtao Qingdao,Tsingtao/Qingdao
spase://SMWG/Observatory/IAGA/Tucson,TUC,Tucson
spase://SMWG/Observatory/IAGA/Victoria,VIC,Victoria
spase://SMWG/Observatory/IAGA/Vostok,VOS,Vostok
spase://SMWG/Observatory/IAGA/Yellowknife,YKC,Yellowknife
spase://SMWG/Observatory/IAGA/Zaimishche,Zaimishche Kazan,Zaimishche/Kazan
spase://SMWG/Observatory/ICON,ICON,Ionospheric Connection Explorer
spase://SMWG/Observatory/IGPPLANL/Air.Force.Academy,IGPP LANL Air Force Academy Magnetometer,IGPP-LANL Air Force Academy Magnetometer
spase://SMWG/Observatory/IGPPLANL/Boulder,IGPP LANL Boulder Magnetometer,IGPP-LANL Boulder Magnetometer
spase://SMWG/Observatory/IGPPLANL/Cambridge,IGPP LANL Cambridge Magnetometer,IGPP-LANL Cambridge Magnetometer
spase://SMWG/Observatory/IGPPLANL/Crete,IGPP LANL Crete Magnetometer,IGPP-LANL Crete Magnetometer
spase://SMWG/Observatory/IGPPLANL/Jicamarca,IGPP LANL Jicamarca Magnetometer,IGPP-LANL Jicamarca Magnetometer
spase://SMWG/Observatory/IGPPLANL/Los.Alamos.National.Laboratory,IGPP LANL Los Alamos National Laboratory Magnetometer,IGPP-LANL Los Alamos National Laboratory Magnetometer
spase://SMWG/Observatory/IGPPLANL/Rapid.City,IGPP LANL Rapid City Magnetometer,IGPP-LANL Rapid City Magnetometer
spase://SMWG/Observatory/IGPPLANL/San.Gabriel.Dam,IGPP LANL San Gabriel Dam Magnetometer,IGPP-LANL San Gabriel Dam Magnetometer
spase://SMWG/Observatory/IGPPLANL/Southeast.Louisiana.University,IGPP LANL SE Louisiana University Magnetometer,IGPP-LANL SE Louisiana University Magnetometer
spase://SMWG/Observatory/IGPPLANL/Table.Mountain,IGPP LANL Table Mountain Magnetometer,IGPP-LANL Table Mountain Magnetometer
spase://SMWG/Observatory/IGPPLANL/Teoloyucan,IGPP LANL Teoloyucan Magnetometer,IGPP-LANL Teoloyucan Magnetometer
spase://SMWG/Observatory/IGS,IGS,International GNSS Service (IGS)
spase://SMWG/Observatory/IMP,IMP,IMP Spacecraft Series
spase://SMWG/Observatory/Injun5,Injun,Injun 5
spase://SMWG/Observatory/Interball-1,Interball 1,Interball-1
spase://SMWG/Observatory/Interball-2,Interball 2,Interball-2
spase://SMWG/Observatory/IRIS,IRIS,Interface Region Imaging Spectrograph (IRIS)
spase://SMWG/Observatory/ISEE,ISEE,ISEE Mission
spase://SMWG/Observatory/ISIS,ISIS,ISIS Satellites
spase://SMWG/Observatory/ISS,ISS,International Space Station
