HelioData_short_name,HelioData_long_name,SPASE_AlternateName,SPASE_ResourceName
WLPS,Wallops Island Geophysical Observatory,Observatory Station Code: WLPS,['Observatory Station Code: WLPS']
World Data Center Ground Data Master Catalog,World Data Center Ground Data Master Catalog,WDC Ground Observatories,"['WDC Ground Observatories', 'WDC']"
White Horse,White Horse,Observatory Station Code: WHIT,['Observatory Station Code: WHIT']
WHIT,Whitehorse Geophysical Observatory,Observatory Station Code: WHS,['Observatory Station Code: WHS']
Whiteshell,Whiteshell,Observatory Station Code: WHS,['Observatory Station Code: WHS']
Wien Auhof,Wien Auhof,Observatory Station Code: WIA,['Observatory Station Code: WIA']
Wien Kobenzl,Wien Kobenzl,Observatory Station Code: WIK,['Observatory Station Code: WIK']
Wilkes,Wilkes,Observatory Station Code: WIL,['Observatory Station Code: WIL']
Wingst,Wingst,Observatory Station Code: WNG,['Observatory Station Code: WNG']
Witteveen,Witteveen,Observatory Station Code: WIT,['Observatory Station Code: WIT']
WRTH,Worthington Geophysical Observatory,Observatory Station Code: WRTH,['Observatory Station Code: WRTH']
Wuhan,Wuhan,Observatory Station Code: WHN,['Observatory Station Code: WHN']
Yakutsk,Yakutsk,Observatory Station Code: YAK,['Observatory Station Code: YAK']
Yangi Bazar,Yangi Bazar,Observatory Station Code: TKT,"['Tashkent', 'Observatory Station Code: TKT']"
Yellowknife Geophysical Observatory,Yellowknife Geophysical Observatory,Observatory Station Code: YKNF,"['Observatory Station Code: YKNF', 'Observatory Station Code: YKC']"
Yuzhno Sakhalinsk,Yuzhno Sakhalinsk,Observatory Station Code: YSS,['Observatory Station Code: YSS']
Zaymishche,Zaymishche,Observatory Station Code: KZN,['Observatory Station Code: KZN']
HANET Observatory Network,HANET Observatory Network,HANET Observatory Network,['']
Hawkeye,Hawkeye,Neutral Point Explorer,"['Hawkeye 1', 'Neutral Point Explorer', 'Injun-F', 'Explorer 52']"
Helios,Helios Mission,Helios Mission,['']
Helios 1,Helios 1,Helios-A,['Helios-A']
Helios 2,Helios 2,Helios-B,['Helios-B']
HEO 1,HEO-1,HEO-1,['']
HEO 2,HEO-2,HEO-2,['']
HEO 3,HEO-3,HEO-3,['']
Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES),Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES),Heliophysics Environmental and Radiation Measurement Experiment Suite (HERMES),['']
Hinode,Hinode,Hinode,['']
Hinotori,Hinotori,Astronomical Satellite-A,"['1981-017A', 'Astronomical Satellite-A', 'ASTRO-A']"
IAGA,IAGA,International Association of Geomagnetism and Aeronomy,['International Association of Geomagnetism and Aeronomy']
Aberystwyth,Aberystwyth,Aberystwyth,"['Aberystwyth', 'IAGA:AWY']"
Abinger,Abinger,IAGA:ABN,"['Abinger', 'IAGA:ABN']"
Abisko,Abisko,IAGA:ABK,"['Abisko', 'IAGA:ABK']"
Accra,Accra,IAGA:ACR,"['Accra', 'IAGA:ACR']"
Adak,Adak,IAGA:ADA,"['Adak', 'IAGA:ADA']"
Addis Ababa,Addis Ababa,Addis.Ababa,"['Addis.Ababa', 'IAGA:AAE']"
Adelaide,Adelaide,Adelaide,"['Adelaide', 'IAGA:ADE']"
Aedey,Aedey,IAGA:AED,"['Aedey', 'IAGA:AED']"
Agincourt,Agincourt,Agincourt,"['Agincourt', 'IAGA:AGN']"
Ahmedabad,Ahmedabad,Ahmedabad,"['Ahmedabad', 'IAGA:AHM']"
Alert,Alert,IAGA:ALE,"['Alert', 'IAGA:ALE']"
Alger Island,Alger Island,Alger.Island,"['Alger.Island', 'IAGA:ALG']"
Alibag,Alibag,IAGA:ABG,"['Alibag', 'IAGA:ABG']"
Alice Springs,Alice Springs,Alice.Springs,"['Alice.Springs', 'IAGA:ASP']"
Allahabad,Allahabad,Allahabad,"['Allahabad', 'IAGA:ALH']"
Alma Ata,Alma Ata,Alma.Ata,"['Alma.Ata', 'IAGA:AAA']"
Almeria,Almeria,IAGA:ALM,"['Almeria', 'IAGA:ALM']"
Aloushta,Aloushta,Aloushta,"['Aloushta', 'IAGA:ALU']"
Amatsia,Amatsia,IAGA:AMT,"['Amatsia', 'IAGA:AMT']"
Ambarnaya,Ambarnaya,Ambarnaya,"['Ambarnaya', 'IAGA:AMN']"
Amberley,Amberley,Amberley,"['Amberley', 'IAGA:AML']"
AMD,Amderma,IAGA:AMD,"['Amderma', 'IAGA:AMD']"
AMU,Anchorage,Anchorage,"['Anchorage', 'IAGA:AMU']"
Ancon,Ancon,IAGA:ANC,"['Ancon', 'IAGA:ANC']"
Andrews AFB,Andrews AFB,Andrews.AFB,"['Andrews.AFB', 'IAGA:AWS']"
Angmakssalik,Angmakssalik,Angmakssalik,"['Angmakssalik', 'IAGA:AMK']"
Angra Do Heroismo,Angra Do Heroismo,Angra.Do.Heroismo,"['Angra.Do.Heroismo', 'IAGA:ANH']"
Ankara,Ankara,IAGA:ANK,"['Ankara', 'IAGA:ANK']"
Annamalainagar,Annamalainagar,Annamalainagar,"['Annamalainagar', 'IAGA:ANN']"
Antananarivo,Antananarivo,Antananarivo,"['Antananarivo', 'IAGA:TAN']"
Antipolo,Antipolo,Antipolo,"['Antipolo', 'IAGA:ANO']"
Apatity,Apatity,IAGA:APA,"['Apatity', 'IAGA:APA']"
Apia,Apia,IAGA:API,"['Apia', 'IAGA:API']"
Arctic Ice Flo,Arctic Ice Flo,Arctic.Ice.Flo,"['Arctic.Ice.Flo', 'IAGA:AIF']"
AVI,Arctic Village,Arctic.Village,"['Arctic.Village', 'IAGA:AVI']"
Arctowski,Arctowski,Arctowski,"['Arctowski', 'IAGA:ARC']"
Arequipa,Arequipa,Arequipa,"['Arequipa', 'IAGA:ARE']"
Argentine Island Vernadski,Argentine Island/Vernadski,Vernadski,"['Vernadski', 'IAGA:AIA']"
Arkhangel'Sk,Arkhangel'Sk,Arkhangel'Sk,"[""Arkhangel'Sk"", 'IAGA:ARK']"
Arti,Arti,IAGA:ARS,"['Arti', 'IAGA:ARS']"
Ascension Island,Ascension Island,Ascension.Island,"['Ascension.Island', 'IAGA:ASC']"
Ashkhabad Vannovskaya,Ashkhabad/Vannovskaya,Vannovskaya,"['Vannovskaya', 'IAGA:ASH']"
Aso,Aso,IAGA:ASO,"['Aso', 'IAGA:ASO']"
Asuka Station,Asuka Station,Asuka.Station,"['Asuka.Station', 'IAGA:ASK']"
Athens,Athens,IAGA:ATH,"['Athens', 'IAGA:ATH']"
Au Tau,Au-Tau,IAGA:AUT,"['Au-Tau', 'IAGA:AUT']"
Auckland Island,Auckland Island,Auckland.Island,"['Auckland.Island', 'IAGA:AUI']"
Averroes,Averroes,Averroes,"['Averroes', 'IAGA:AVE']"
Back,Back,IAGA:BKC,"['Back', 'IAGA:BKC']"
Baclieu,Baclieu,IAGA:BCL,"['Baclieu', 'IAGA:BCL']"
Baffin Island,Baffin Island,Baffin.Island,"['Baffin.Island', 'IAGA:BFI']"
Baghdad,Baghdad,IAGA:BGH,"['Baghdad', 'IAGA:BGH']"
Baguio,Baguio,IAGA:BAG,"['Baguio', 'IAGA:BAG']"
BLC,Baker Lake,Baker.Lake,"['Baker.Lake', 'IAGA:BLC']"
Baldwin,Baldwin,IAGA:BAL,"['Baldwin', 'IAGA:BAL']"
Bangkok,Bangkok,IAGA:BKK,"['Bangkok', 'IAGA:BKK']"
Bangui,Bangui,IAGA:BNG,"['Bangui', 'IAGA:BNG']"
Bar Gyora,Bar Gyora,Bar.Gyora,"['Bar.Gyora', 'IAGA:BGY']"
BBG,Barentsburg,Barentsburg,"['Barentsburg', 'IAGA:BBG']"
Barnaul,Barnaul,IAGA:BRN,"['Barnaul', 'IAGA:BRN']"
Barrackpore,Barrackpore,Barrackpore,"['Barrackpore', 'IAGA:BAP']"
BRW,Barrow,IAGA:BRW,"['Barrow', 'IAGA:BRW']"
Barter Island,Barter Island,Barter.Island,"['Barter.Island', 'IAGA:BTI']"
Barth,Barth,IAGA:BAH,"['Barth', 'IAGA:BAH']"
Batavia,Batavia,IAGA:BTV,"['Batavia', 'IAGA:BTV']"
Bay St Louis,Bay St Louis,Bay.St.Louis,"['Bay.St.Louis', 'IAGA:BSL']"
Bei Jing,Bei-Jing,Bei-Jing,"['Bei-Jing', 'IAGA:BJI']"
Beijing Ming Tombs,Beijing Ming Tombs,Beijing.Ming.Tombs,"['Beijing.Ming.Tombs', 'IAGA:BMT']"
Beliy Island,Beliy Island,Beliy.Island,"['Beliy.Island', 'IAGA:BEY']"
Beloit,Beloit,IAGA:BLT,"['Beloit', 'IAGA:BLT']"
Belsk,Belsk,IAGA:BEL,"['Belsk', 'IAGA:BEL']"
Berezniaki Karaganda,Berezniaki/Karaganda,Karaganda,"['Karaganda', 'IAGA:KGD']"
Beuthen,Beuthen,IAGA:BEU,"['Beuthen', 'IAGA:BEU']"
Big Delta,Big Delta,Big.Delta,"['Big.Delta', 'IAGA:BDE']"
Binza,Binza,IAGA:BIN,"['Binza', 'IAGA:BIN']"
Bjornoya,Bjornoya,Bjornoya,"['Bjornoya', 'IAGA:BJN']"
Black Forest,Black Forest,Black.Forest,"['Black.Forest', 'IAGA:BFO']"
Bochum,Bochum,IAGA:BOC,"['Bochum', 'IAGA:BOC']"
Bodo,Bodo,IAGA:BOD,"['Bodo', 'IAGA:BOD']"
Borga,Borga,IAGA:BGA,"['Borga', 'IAGA:BGA']"
Borok,Borok,IAGA:BOX,"['Borok', 'IAGA:BOX']"
Bossekop,Bossekop,Bossekop,"['Bossekop', 'IAGA:BOP']"
BOU,Boulder,IAGA:BOU,"['Boulder', 'IAGA:BOU']"
Bouzareah,Bouzareah,Bouzareah,"['Bouzareah', 'IAGA:BZR']"
Breslau,Breslau,IAGA:BRE,"['Breslau', 'IAGA:BRE']"
Brisbane,Brisbane,Brisbane,"['Brisbane', 'IAGA:BRS']"
BFE,Brorfelde,Brorfelde,"['Brorfelde', 'IAGA:BFE']"
Bucharest,Bucharest,Bucharest,"['Bucharest', 'IAGA:BUC']"
Budakeszi,Budakeszi,Budakeszi,"['Budakeszi', 'IAGA:BUZ']"
Budapest,Budapest,Budapest,"['Budapest', 'IAGA:BUP']"
Budkov,Budkov,IAGA:BDV,"['Budkov', 'IAGA:BDV']"
Bunia,Bunia,IAGA:BNA,"['Bunia', 'IAGA:BNA']"
Burlington,Burlington,Burlington,"['Burlington', 'IAGA:BRT']"
Byrd Station 1,Byrd Station 1,Byrd.Station.1,"['Byrd.Station.1', 'IAGA:BYR']"
Cachoeira Paulista,Cachoeira Paulista,Cachoeira.Paulista,"['Cachoeira.Paulista', 'IAGA:CHP']"
CBB,Cambridge Bay,Cambridge.Bay,"['Cambridge.Bay', 'IAGA:CBB']"
Camp Douglas,Camp Douglas,Camp.Douglas,"['Camp.Douglas', 'IAGA:CDS']"
Campbell Island,Campbell Island,Campbell.Island,"['Campbell.Island', 'IAGA:CAI']"
Canberra,Canberra,Canberra,"['Canberra', 'IAGA:CNB']"
Cap Thordsen,Cap Thordsen,Cap.Thordsen,"['Cap.Thordsen', 'IAGA:CTH']"
Cape Chelyuskin,Cape Chelyuskin,Cape.Chelyuskin,"['Cape.Chelyuskin', 'IAGA:CCS']"
Cape Denison,Cape Denison,Cape.Denison,"['Cape.Denison', 'IAGA:CDE']"
Cape Evans,Cape Evans,Cape.Evans,"['Cape.Evans', 'IAGA:CEV']"
Cape Kamenniy,Cape Kamenniy,Cape.Kamenniy,"['Cape.Kamenniy', 'IAGA:CKA']"
Cape Of Good Hope,Cape Of Good Hope,Cape.Of.Good.Hope,"['Cape.Of.Good.Hope', 'IAGA:CGH']"
Cape Parry,Cape Parry,Cape.Parry,"['Cape.Parry', 'IAGA:CPY']"
Cape Schmidt,Cape Schmidt,Cape.Schmidt,"['Cape.Schmidt', 'IAGA:CPS']"
Cape Town,Cape Town,Cape.Town,"['Cape.Town', 'IAGA:CTO']"
Cape Wellen,Cape Wellen,Cape.Wellen,"['Cape.Wellen', 'IAGA:CWE']"
Cape Zhelania,Cape Zhelania,Cape.Zhelania,"['Cape.Zhelania', 'IAGA:CZA']"
Capodimonte,Capodimonte,Capodimonte,"['Capodimonte', 'IAGA:CPD']"
Capri,Capri,IAGA:CPI,"['Capri', 'IAGA:CPI']"
Carrollton,Carrollton,Carrollton,"['Carrollton', 'IAGA:CAX']"
Casey,Casey,IAGA:CSY,"['Casey', 'IAGA:CSY']"
Casper,Casper,IAGA:CSR,"['Casper', 'IAGA:CSR']"
Castellaccio,Castellaccio,Castellaccio,"['Castellaccio', 'IAGA:CAO']"
Castello Tesino,Castello Tesino,Castello.Tesino,"['Castello.Tesino', 'IAGA:CTS']"
Castle Rock,Castle Rock,Castle.Rock,"['Castle.Rock', 'IAGA:CRC']"
Cebu,Cebu,IAGA:CCP,"['Cebu', 'IAGA:CCP']"
Cha Pa,Cha-Pa,IAGA:CPA,"['Cha-Pa', 'IAGA:CPA']"
Chambon La Foret,Chambon La Foret,Chambon.La.Foret,"['Chambon.La.Foret', 'IAGA:CLF']"
Changchun,Changchun,Changchun,"['Changchun', 'IAGA:CNH']"
Charcot,Charcot,IAGA:CTX,"['Charcot', 'IAGA:CTX']"
Charters Towers,Charters Towers,Charters.Towers,"['Charters.Towers', 'IAGA:CTA']"
Cheltenham,Cheltenham,Cheltenham,"['Cheltenham', 'IAGA:CLH']"
Chengdu,Chengdu,IAGA:CDP,"['Chengdu', 'IAGA:CDP']"
Chesterfield Inlet,Chesterfield Inlet,Chesterfield.Inlet,"['Chesterfield.Inlet', 'IAGA:CFI']"
Chichijima,Chichijima,Chichijima,"['Chichijima', 'IAGA:CBI']"
Chiclayo,Chiclayo,Chiclayo,"['Chiclayo', 'IAGA:CCL']"
Chilbolton,Chilbolton,Chilbolton,"['Chilbolton', 'IAGA:CLB']"
Chimbote,Chimbote,Chimbote,"['Chimbote', 'IAGA:CMB']"
Chiripa,Chiripa,IAGA:CRP,"['Chiripa', 'IAGA:CRP']"
Chittagong,Chittagong,Chittagong,"['Chittagong', 'IAGA:CHT']"
Christchurch,Christchurch,Christchurch,"['Christchurch', 'IAGA:CHR']"
Clausthal,Clausthal,Clausthal,"['Clausthal', 'IAGA:CLZ']"
Climax,Climax,IAGA:CLI,"['Climax', 'IAGA:CLI']"
Coimbra,Coimbra,IAGA:COI,"['Coimbra', 'IAGA:COI']"
Colaba,Colaba,IAGA:CLA,"['Colaba', 'IAGA:CLA']"
CMO,College,IAGA:CMO,"['College', 'IAGA:CMO']"
Collmberg,Collmberg,Collmberg,"['Collmberg', 'IAGA:CLL']"
Colorado Springs,Colorado Springs,Colorado.Springs,"['Colorado.Springs', 'IAGA:CSS']"
Copenhagen,Copenhagen,Copenhagen,"['Copenhagen', 'IAGA:COP']"
Crozet Port Alfred,Crozet/Port Alfred,Port.Alfred,"['Port.Alfred', 'IAGA:CZT']"
Cuajimalpa,Cuajimalpa,Cuajimalpa,"['Cuajimalpa', 'IAGA:CUA']"
Cuzco,Cuzco,IAGA:CUS,"['Cuzco', 'IAGA:CUS']"
Dalat,Dalat,IAGA:DLT,"['Dalat', 'IAGA:DLT']"
Dalian,Dalian,IAGA:DLN,"['Dalian', 'IAGA:DLN']"
Dallas,Dallas,IAGA:DAL,"['Dallas', 'IAGA:DAL']"
Dar Es Salaam,Dar Es Salaam,Dar.Es.Salaam,"['Dar.Es.Salaam', 'IAGA:DRS']"
Darwin,Darwin,IAGA:DAR,"['Darwin', 'IAGA:DAR']"
Davao,Davao,IAGA:DAV,"['Davao', 'IAGA:DAV']"
Davis,Davis,IAGA:DVS,"['Davis', 'IAGA:DVS']"
De Bilt,De Bilt,IAGA:DBN,"['De.Bilt', 'IAGA:DBN']"
Dehra Dun,Dehra Dun,Dehra.Dun,"['Dehra.Dun', 'IAGA:DDI']"
Dekelia,Dekelia,IAGA:DEK,"['Dekelia', 'IAGA:DEK']"
Del Rio,Del Rio,IAGA:DLR,"['Del.Rio', 'IAGA:DLR']"
Discovery Bay North,Discovery Bay North,Discovery.Bay.North,"['Discovery.Bay.North', 'IAGA:DIS']"
Discovery Bay South,Discovery Bay South,Discovery.Bay.South,"['Discovery.Bay.South', 'IAGA:HUT']"
Dixon,Dixon,IAGA:DIK,"['Dixon', 'IAGA:DIK']"
Djibouti,Djibouti,Djibouti,"['Djibouti', 'IAGA:DJI']"
DOB,Dombas,IAGA:DOB,"['Dombas', 'IAGA:DOB']"
Dome Concordia,Dome Concordia,Dome.Concordia,"['Dome.Concordia', 'IAGA:DMC']"
Dome Fuji,Dome Fuji,Dome.Fuji,"['Dome.Fuji', 'IAGA:DMF']"
Donnersberg,Donnersberg,Donnersberg,"['Donnersberg', 'IAGA:DNB']"
Dourbes,Dourbes,IAGA:DOU,"['Dourbes', 'IAGA:DOU']"
Dublin,Dublin,IAGA:DUB,"['Dublin', 'IAGA:DUB']"
Dumont Durville,Dumont Durville,Dumont.Durville,"['Dumont.Durville', 'IAGA:DRV']"
Durham,Durham,IAGA:DUR,"['Durham', 'IAGA:DUR']"
Dusheti,Dusheti,IAGA:TFS,"['Dusheti', 'IAGA:TFS']"
Dymer,Dymer,IAGA:KIV,"['Dymer', 'IAGA:KIV']"
East Anglia,East Anglia,East.Anglia,"['East.Anglia', 'IAGA:EAA']"
Easter Island,Easter Island,Easter.Island,"['Easter.Island', 'IAGA:EIC']"
Eastport,Eastport,Eastport,"['Eastport', 'IAGA:ETP']"
Ebro,Ebro,IAGA:EBR,"['Ebro', 'IAGA:EBR']"
Eielson AFB,Eielson AFB,Eielson.AFB,"['Eielson.AFB', 'IAGA:ENB']"
Eights Station,Eights Station,Eights.Station,"['Eights.Station', 'IAGA:EGS']"
Eilat,Eilat,IAGA:ELT,"['Eilat', 'IAGA:ELT']"
El Abiod Sidi,El Abiod Sidi,El.Abiod.Sidi,"['El.Abiod.Sidi', 'IAGA:EAS']"
Elizabethville,Elizabethville,Elizabethville,"['Elizabethville', 'IAGA:ELI']"
Enkoping,Enkoping,Enkoping,"['Enkoping', 'IAGA:ENK']"
Esashi,Esashi,IAGA:ESA,"['Esashi', 'IAGA:ESA']"
Eskdalemuir,Eskdalemuir,Eskdalemuir,"['Eskdalemuir', 'IAGA:ESK']"
Eskimo Point,Eskimo Point,Eskimo.Point,"['Eskimo.Point', 'IAGA:EKP']"
Espanola,Espanola,Espanola,"['Espanola', 'IAGA:EPN']"
Etah,Etah,IAGA:ETA,"['Etah', 'IAGA:ETA']"
Etaiyapuram,Etaiyapuram,Etaiyapuram,"['Etaiyapuram', 'IAGA:ETT']"
Eureka,Eureka,IAGA:EUA,"['Eureka', 'IAGA:EUA']"
Eusebio,Eusebio,IAGA:EUS,"['Eusebio', 'IAGA:EUS']"
Eyrewell,Eyrewell,Eyrewell,"['Eyrewell', 'IAGA:EYR']"
Falmouth,Falmouth,Falmouth,"['Falmouth', 'IAGA:FAL']"
Fanning Island,Fanning Island,Fanning.Island,"['Fanning.Island', 'IAGA:FAN']"
Flensburg,Flensburg,Flensburg,"['Flensburg', 'IAGA:FLE']"
Floeberg Beach,Floeberg Beach,Floeberg.Beach,"['Floeberg.Beach', 'IAGA:FLB']"
Fort Chipewyan,Fort Chipewyan,Fort.Chipewyan,"['Fort.Chipewyan', 'IAGA:FCP']"
Fort Churchill,Fort Churchill 2,Fort.Churchill.2,"['Fort.Churchill.2', 'IAGA:FCC']"
Fort Conger,Fort Conger,Fort.Conger,"['Fort.Conger', 'IAGA:FCR']"
Fort Mcmurray,Fort Mcmurray,Fort.Mcmurray,"['Fort.Mcmurray', 'IAGA:FMM']"
Fort Rae,Fort Rae,Fort.Rae,"['Fort.Rae', 'IAGA:FRA']"
Fort Severn,Fort Severn,Fort.Severn,"['Fort.Severn', 'IAGA:FSV']"
FSP,Fort Simpson,Fort.Simpson,"['Fort.Simpson', 'IAGA:FSP']"
FSM,Fort Smith,Fort.Smith,"['Fort.Smith', 'IAGA:FSM']"
FYU,Fort Yukon,Fort.Yukon,"['Fort.Yukon', 'IAGA:FYU']"
FRD,Fredericksburg,Fredericksburg,"['Fredericksburg', 'IAGA:FRD']"
Freetown,Freetown,Freetown,"['Freetown', 'IAGA:FTN']"
Freiberg,Freiberg,Freiberg,"['Freiberg', 'IAGA:FRB']"
FRN,Fresno,IAGA:FRN,"['Fresno', 'IAGA:FRN']"
Fuquene,Fuquene,IAGA:FUQ,"['Fuquene', 'IAGA:FUQ']"
Furstenfeldbruck,Furstenfeldbruck,Furstenfeldbruck,"['Furstenfeldbruck', 'IAGA:FUR']"
Gauss Station,Gauss Station,Gauss.Station,"['Gauss.Station', 'IAGA:GAS']"
Gelania,Gelania,IAGA:GEL,"['Gelania', 'IAGA:GEL']"
Genova C,Genova C,Genova.C,"['Genova.C', 'IAGA:GEN']"
Genova Monte Capellino,Genova Monte Capellino,Genova.Monte.Capellino,"['Genova.Monte.Capellino', 'IAGA:MCP']"
Georg Von Neumayer,Georg Von Neumayer,Georg.Von.Neumayer,"['Georg.Von.Neumayer', 'IAGA:GVN']"
Gibilmanna,Gibilmanna,Gibilmanna,"['Gibilmanna', 'IAGA:GIB']"
Gilgit,Gilgit,IAGA:GIT,"['Gilgit', 'IAGA:GIT']"
GIM,Gillam,IAGA:GIM,"['Gillam', 'IAGA:GIM']"
Girardville,Girardville,Girardville,"['Girardville', 'IAGA:GIR']"
Gjoahavn,Gjoahavn,Gjoahavn,"['Gjoahavn', 'IAGA:GJO']"
Glenlea,Glenlea,IAGA:GLN,"['Glenlea', 'IAGA:GLN']"
Gnangara,Gnangara,Gnangara,"['Gnangara', 'IAGA:GNA']"
Godhavn,Godhavn,IAGA:GDH,"['Godhavn', 'IAGA:GDH']"
Godthaab,Godthaab,Godthaab,"['Godthaab', 'IAGA:GHB']"
Golmud,Golmud,IAGA:GLM,"['Golmud', 'IAGA:GLM']"
Gonzales Videla,Gonzales Videla,Gonzales.Videla,"['Gonzales.Videla', 'IAGA:GVD']"
Gornotayezhnaya Vladivostok,Gornotayezhnaya/Vladivostok,Vladivostok,"['Vladivostok', 'IAGA:VLA']"
Gottingen 1,Gottingen-1,Gottingen-1,"['Gottingen-1', 'IAGA:GOT']"
Gottingen 2,Gottingen-2,Gottingen-2,"['Gottingen-2', 'IAGA:GTT']"
Grahamstown,Grahamstown,Grahamstown,"['Grahamstown', 'IAGA:GRM']"
Great Wall Station,Great Wall Station,Great.Wall.Station,"['Great.Wall.Station', 'IAGA:GTW']"
Great Whale River,Great Whale River,Great.Whale.River,"['Great.Whale.River', 'IAGA:GWC']"
Greenwich,Greenwich,Greenwich,"['Greenwich', 'IAGA:GRW']"
Grocka,Grocka,IAGA:GCK,"['Grocka', 'IAGA:GCK']"
Gross Raum,Gross Raum,Gross.Raum,"['Gross.Raum', 'IAGA:GRR']"
Grytviken,Grytviken,Grytviken,"['Grytviken', 'IAGA:GTV']"
Guam,Guam,IAGA:GUA,"['Guam', 'IAGA:GUA']"
Guangzhou,Guangzhou,Guangzhou,"['Guangzhou', 'IAGA:GZH']"
Guimar,Guimar,IAGA:GUI,"['Guimar', 'IAGA:GUI']"
Hackney Wick 1,Hackney Wick 1,Hackney.Wick.1,"['Hackney.Wick.1', 'IAGA:HWK']"
Hackney Wick 2,Hackney Wick 2,Hackney.Wick.2,"['Hackney.Wick.2', 'IAGA:BYH']"
Hallet,Hallet,IAGA:HLL,"['Hallet', 'IAGA:HLL']"
Halley Bay,Halley Bay,Halley.Bay,"['Halley.Bay', 'IAGA:HBA']"
Hamburg,Hamburg,IAGA:HAM,"['Hamburg', 'IAGA:HAM']"
HAN,Hankasalmi,Hankasalmi,"['Hankasalmi', 'IAGA:HAN']"
Hartebeesthoek,Hartebeesthoek,Hartebeesthoek,"['Hartebeesthoek', 'IAGA:HBK']"
Hartland,Hartland,Hartland,"['Hartland', 'IAGA:HAD']"
Hatizyo,Hatizyo,IAGA:HTY,"['Hatizyo', 'IAGA:HTY']"
Havana,Havana,IAGA:HVN,"['Havana', 'IAGA:HVN']"
Hayriver,Hayriver,Hayriver,"['Hayriver', 'IAGA:HRI']"
Healy,Healy,IAGA:HEA,"['Healy', 'IAGA:HEA']"
Heard Island,Heard Island,Heard.Island,"['Heard.Island', 'IAGA:HII']"
Heiss Island,Heiss Island,Heiss.Island,"['Heiss.Island', 'IAGA:HIS']"
Hel,Hel,IAGA:HLP,"['Hel', 'IAGA:HLP']"
Helsinki,Helsinki,Helsinki,"['Helsinki', 'IAGA:HLS']"
Helwan,Helwan,IAGA:HLW,"['Helwan', 'IAGA:HLW']"
Herchmer,Herchmer,Herchmer,"['Herchmer', 'IAGA:HCR']"
Hermanus,Hermanus,Hermanus,"['Hermanus', 'IAGA:HER']"
Hermsdorf,Hermsdorf,Hermsdorf,"['Hermsdorf', 'IAGA:HDF']"
Hobart,Hobart,IAGA:HBT,"['Hobart', 'IAGA:HBT']"
Hollandia,Hollandia,Hollandia,"['Hollandia', 'IAGA:HNA']"
Holsteinsborg,Holsteinsborg,Holsteinsborg,"['Holsteinsborg', 'IAGA:HST']"
Hong Kong,Hong Kong 1,Hong.Kong.1,"['Hong.Kong.1', 'IAGA:HKC']"
Honolulu 1 2 3,Honolulu 1-2-3,Honolulu.1-2-3,"['Honolulu.1-2-3', 'IAGA:HON']"
Hornsund,Hornsund,Hornsund,"['Hornsund', 'IAGA:HRN']"
Huancayo,Huancayo,Huancayo,"['Huancayo', 'IAGA:HUA']"
Hurbanovo,Hurbanovo,Hurbanovo,"['Hurbanovo', 'IAGA:HRB']"
Husafell,Husafell,Husafell,"['Husafell', 'IAGA:HUS']"
Hyderabad,Hyderabad,Hyderabad,"['Hyderabad', 'IAGA:HYB']"
Ibadan,Ibadan,IAGA:IBD,"['Ibadan', 'IAGA:IBD']"
Ile Ife,Ile-Ife,IAGA:IIF,"['Ile-Ife', 'IAGA:IIF']"
Inge Lehmann,Inge Lehmann,Inge.Lehmann,"['Inge.Lehmann', 'IAGA:ILN']"
INK,Inuvik,IAGA:INK,"['Inuvik', 'IAGA:INK']"
IQA,Iqaluit,IAGA:IQA,"['Iqaluit', 'IAGA:IQA']"
Isachsen,Isachsen,Isachsen,"['Isachsen', 'IAGA:ISC']"
Islamabad,Islamabad,Islamabad,"['Islamabad', 'IAGA:ISP']"
Island Lake,Island Lake,Island.Lake,"['Island.Lake', 'IAGA:ISL']"
Istanbul Kandilly,Istanbul Kandilly,Istanbul.Kandilly,"['Istanbul.Kandilly', 'IAGA:ISK']"
IVA,Ivalo,IAGA:IVA,"['Ivalo', 'IAGA:IVA']"
Ivigtut,Ivigtut,IAGA:IVI,"['Ivigtut', 'IAGA:IVI']"
Iznik,Iznik,IAGA:IZN,"['Iznik', 'IAGA:IZN']"
Jaipur,Jaipur,IAGA:JAI,"['Jaipur', 'IAGA:JAI']"
Jaluit,Jaluit,IAGA:JAL,"['Jaluit', 'IAGA:JAL']"
JMI,Jan Mayen,Jan.Mayen,"['Jan.Mayen', 'IAGA:JMI']"
Janow,Janow,IAGA:YNV,"['Janow', 'IAGA:YNV']"
Jarvis Island,Jarvis Island,Jarvis.Island,"['Jarvis.Island', 'IAGA:JRV']"
Jassy,Jassy,IAGA:JSS,"['Jassy', 'IAGA:JSS']"
Jekman Island,Jekman Island,Jekman.Island,"['Jekman.Island', 'IAGA:JKI']"
Johnson Point,Johnson Point,Johnson.Point,"['Johnson.Point', 'IAGA:JOP']"
Julianehaab,Julianehaab,Julianehaab,"['Julianehaab', 'IAGA:JUL']"
Kakadu,Kakadu,IAGA:KDU,"['Kakadu', 'IAGA:KDU']"
Kakioka,Kakioka,IAGA:KAK,"['Kakioka', 'IAGA:KAK']"
Kaliningrad 1,Kaliningrad-1,Kaliningrad-1,"['Kaliningrad-1', 'IAGA:KLD']"
