HelioData_short_name,SPASE_ResourceName
San Marco DL,San Marco-DL
Solar wind Magnetosphere Ionosphere Link Explorer (SMILE),Solar wind-Magnetosphere-Ionosphere Link Explorer (SMILE)
SNOE,Student Nitric Oxide Explorer (SNOE)
ST5,ST5 Mission
ST5 094,ST5-094
ST5 155,ST5-155
ST5 224,ST5-224
Solar Terrestrial Energy Program,Solar-Terrestrial Energy Program
STEREO,STEREO Mission
STPSat 1,STPSat-1
THEMIS Ground,THEMIS-Associated Ground Magnetometer Stations
THEMIS GIMA,THEMIS-GIMA
EPO,THEMIS-EPO
THEMIS GBO,THEMIS-GBO
TWINS,TWINS Mission
SPSG,Space Plasma Simulation Group
Vega,Vega Mission
Voyager,Voyager Spacecraft
Chambon la Foret Ground Observatory,Chambon-la-Foret Ground Observatory
San Pablo Toledo Ground Observatory,San Pablo-Toledo Ground Observatory
Zo Se Ground Observatory,Zo-Se Ground Observatory
Zond,Zond 3
