ResourceID,hcut_id,short_name,long_name
spase://SMWG/Observatory/BARREL/6A,BARREL_6A,BARREL Balloon 6A,BARREL Balloon 6A
spase://SMWG/Observatory/BARREL/7A,BARREL_7A,BARREL Balloon 7A,BARREL Balloon 7A
spase://SMWG/Observatory/BAS,BAS,British Antarctic Survey,BAS
spase://SMWG/Observatory/BBSO,BBSO,Big Bear Solar Observatory (BBSO),Big Bear Solar Observatory (BBSO)
spase://SMWG/Observatory/BepiColombo,BepiColombo,BepiColombo,BepiColombo Spacecraft
spase://SMWG/Observatory/CARISMA,CARISMA,CARISMA,Canadian Auroral Network for the OPEN (Origins of Plasmas in Earth’s Neighborhood) Program Unified Study
spase://SMWG/Observatory/Cassini,Cassini,Cassini,Cassini Orbiter
spase://SMWG/Observatory/CHAMP,CHAMP,CHAMP,CHAMP
spase://SMWG/Observatory/CLIMAX,CLIMAX,CLIMAX,CLIMAX
spase://SMWG/Observatory/Cluster,Cluster,Cluster,Cluster
spase://SMWG/Observatory/Cluster-Rumba,Cluster-Rumba,Cluster FM5 (Rumba),Cluster 2/FM5 (Rumba)
spase://SMWG/Observatory/Cluster-Salsa,Cluster-Salsa,Cluster FM6 (Salsa),Cluster 2/FM6 (Salsa)
spase://SMWG/Observatory/Cluster-Samba,Cluster-Samba,Cluster FM7 (Samba),Cluster 2/FM7 (Samba)
spase://SMWG/Observatory/Cluster-Tango,Cluster-Tango,Cluster FM8 (Tango),Cluster 2/FM8 (Tango)
spase://SMWG/Observatory/CNOFS,CNOFS,CNOFS,Communication/Navigation Outage Forecasting System
spase://SMWG/Observatory/Contwoyto,Contwoyto,CONT,CONT
spase://SMWG/Observatory/Coriolis,Coriolis,Coriolis,2003-001A
spase://SMWG/Observatory/CORONAS-F,CORONAS-F,CORONAS-F,CORONAS F
spase://SMWG/Observatory/CRRES,CRRES,CRRES,Combined Release and Radiation Effects Satellite
spase://SMWG/Observatory/CubeSat/CSSWE,CubeSat_CSSWE,CSSWE,Colorado Student Space Weather Experiment
spase://SMWG/Observatory/Dawn,Dawn,Dawn,Dawn
spase://SMWG/Observatory/Dawson,Dawson,DAWS,DAWS
spase://SMWG/Observatory/DE,DE,DE,Dynamics Explorer
spase://SMWG/Observatory/DKIST,DKIST,Daniel K Inouye Solar Telescope (DKIST),Daniel K Inouye Solar Telescope (DKIST)
spase://SMWG/Observatory/DMI,DMI,Geophysical Institute Magnetometer Array,DMI
spase://SMWG/Observatory/DMSP,DMSP,DMSP,Defense Meteorological Satellite Program
spase://SMWG/Observatory/DMSP_5D-2,DMSP_5D-2,DMSP_5D 2,DMSP_5D-2
spase://SMWG/Observatory/DMSP_5D-2/F08,DMSP_5D-2_F08,DMSP_5D 2 F08,DMSP-F8
spase://SMWG/Observatory/DMSP_5D-2/F09,DMSP_5D-2_F09,DMSP_5D 2 F09,DMSP-F9
spase://SMWG/Observatory/DMSP_5D-2/F10,DMSP_5D-2_F10,DMSP_5D 2 F10,DMSP-F10
spase://SMWG/Observatory/DMSP_5D-2/F11,DMSP_5D-2_F11,DMSP_5D 2 F11,DMSP-F11
spase://SMWG/Observatory/DMSP_5D-2/F12,DMSP_5D-2_F12,DMSP_5D 2 F12,DMSP-F12
spase://SMWG/Observatory/DMSP_5D-2/F13,DMSP_5D-2_F13,DMSP_5D 2 F13,DMSP-F13
spase://SMWG/Observatory/DMSP_5D-2/F14,DMSP_5D-2_F14,DMSP_5D 2 F14,DMSP-F14
